RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,Zones,Pyear,Pday,Hyear,Hday
28687,1,AAAA0001,AAAA7937,WI_VRZM080,2009288,2010119,0,907,Monze,2009,288,2010,119
28688,1,AAAA0001,AAAA7937,WI_VRZM080,2010288,2011119,0,697,Monze,2010,288,2011,119
28689,1,AAAA0001,AAAA7937,WI_VRZM080,2011288,2012119,0,570,Monze,2011,288,2012,119
28690,1,AAAA0001,AAAA7937,WI_VRZM080,2012288,2013119,0,702,Monze,2012,288,2013,119
28691,1,AAAA0001,AAAA7937,WI_VRZM080,2013288,2014119,0,675,Monze,2013,288,2014,119
28692,1,AAAA0001,AAAA7937,WI_VRZM080,2014288,2015119,0,656,Monze,2014,288,2015,119
28759,3,AAAA0001,AAAA7937,WI_VRZM080,2009288,2010119,0,907,Monze,2009,288,2010,119
28760,3,AAAA0001,AAAA7937,WI_VRZM080,2010288,2011119,0,697,Monze,2010,288,2011,119
28761,3,AAAA0001,AAAA7937,WI_VRZM080,2011288,2012119,0,570,Monze,2011,288,2012,119
28762,3,AAAA0001,AAAA7937,WI_VRZM080,2012288,2013119,0,702,Monze,2012,288,2013,119
28763,3,AAAA0001,AAAA7937,WI_VRZM080,2013288,2014119,0,675,Monze,2013,288,2014,119
28764,3,AAAA0001,AAAA7937,WI_VRZM080,2014288,2015119,0,656,Monze,2014,288,2015,119
56767,1,AAAA0001,AAAA7937,WI_VRZM080,2009302,2010119,1757,907,Monze,2009,302,2010,119
56768,1,AAAA0001,AAAA7937,WI_VRZM080,2010302,2011119,0,697,Monze,2010,302,2011,119
56769,1,AAAA0001,AAAA7937,WI_VRZM080,2011302,2012119,0,570,Monze,2011,302,2012,119
56770,1,AAAA0001,AAAA7937,WI_VRZM080,2012302,2013119,0,702,Monze,2012,302,2013,119
56771,1,AAAA0001,AAAA7937,WI_VRZM080,2013302,2014119,0,675,Monze,2013,302,2014,119
56772,1,AAAA0001,AAAA7937,WI_VRZM080,2014302,2015119,0,656,Monze,2014,302,2015,119
56839,3,AAAA0001,AAAA7937,WI_VRZM080,2009302,2010119,2692,907,Monze,2009,302,2010,119
56840,3,AAAA0001,AAAA7937,WI_VRZM080,2010302,2011119,0,697,Monze,2010,302,2011,119
56841,3,AAAA0001,AAAA7937,WI_VRZM080,2011302,2012119,0,570,Monze,2011,302,2012,119
56842,3,AAAA0001,AAAA7937,WI_VRZM080,2012302,2013119,0,702,Monze,2012,302,2013,119
56843,3,AAAA0001,AAAA7937,WI_VRZM080,2013302,2014119,0,675,Monze,2013,302,2014,119
56844,3,AAAA0001,AAAA7937,WI_VRZM080,2014302,2015119,0,656,Monze,2014,302,2015,119
82687,1,AAAA0001,AAAA7937,WI_VRZM080,2009316,2010119,1492,907,Monze,2009,316,2010,119
82688,1,AAAA0001,AAAA7937,WI_VRZM080,2010316,2011119,2129,697,Monze,2010,316,2011,119
